Customer_ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Monthly_Income,Account_Balance,Family_Size,City,Cluster
100001,Male,No,20,No,Student,1,336351,523319,1,Anbar,0
100002,Female,Yes,64,No,Retired,18,567179,5866008,2,Dhi_Qar,4
100003,Male,Yes,32,Yes,Government_Employee,5,615274,2855871,3,Baghdad,2
100004,Female,No,63,No,Retired,29,509250,8528174,3,Baghdad,4
100005,Female,Yes,46,No,Laborer,13,515834,994245,6,Baghdad,3
100006,Male,Yes,31,Yes,Trader,16,2063569,11493382,5,Diyala,5
100007,Female,Yes,39,Yes,Engineer,6,2623882,15508042,3,Baghdad,5
100008,Male,No,20,Yes,Unemployed,0,369230,453534,2,Diyala,6
100009,Male,Yes,37,No,Government_Employee,3,772295,3718938,4,Erbil,2
100010,Female,Yes,35,Yes,Trader,5,3358233,17239558,4,Mosul,5
100011,Female,Yes,62,No,Retired,18,880898,8481288,3,Basra,4
100012,Male,Yes,84,No,Retired,28,654842,6198605,2,Najaf,4
100013,Female,Yes,30,No,Teacher,7,863213,3887557,3,Basra,6
100014,Male,No,20,Yes,Private_Sector,2,432269,307338,3,Baghdad,6
100015,Female,Yes,31,No,Private_Sector,11,786319,2383129,5,Basra,6
100016,Female,Yes,53,No,Driver,13,513050,834207,6,Baghdad,1
100017,Female,No,20,No,Private_Sector,0,361280,362040,2,Anbar,6
100018,Male,Yes,41,Yes,Private_Sector,6,1175558,2542188,4,Anbar,6
100019,Female,No,31,No,Laborer,17,452861,745690,7,Najaf,3
100020,Male,No,26,Yes,Laborer,0,150000,413700,2,Sulaymaniyah,3
100021,Male,Yes,48,No,Trader,16,3814019,8758561,3,Baghdad,5
100022,Male,Yes,44,No,Homemaker,18,443442,958102,4,Erbil,1
100023,Male,Yes,35,No,Teacher,5,715896,1871223,4,Erbil,6
100024,Female,Yes,44,No,Trader,10,2897350,9807980,3,Baghdad,5
